ID,Nome,Endereço,Bairro,Seção,Divisão,Grupo,Classe,Subclasse,Preenchimento,Situação (Ativo/Vago)
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2060",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2152",ELLERY,,,,,,Residência,Ativo
,Terreno baldio,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2154",ELLERY,,,,,,Terreno baldio,Vago
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2160",ELLERY,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2162",ELLERY,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2284",ELLERY,,,,,,Residência,Ativo
,,"AVENIDA SGT HERM├ìNIO SAMPAIO, 23",MONTE CASTELO,,,,,,,
,Bruno Lanches,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2300",ELLERY,,,,,,"Lanchonetes, casas de chá, de sucos e similares",Ativo
,Auto Peças Santo Inácio e direção hidráulica,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2316",ELLERY,,,,,,Comércio a varejo de peças e acessórios novos para veículos automotores,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2320",ELLERY,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2330",ELLERY,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2336",ELLERY,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2340",ELLERY,,,,,,Residência,Ativo
,Terreno baldio,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2452",ELLERY,,,,,,Terreno baldio,Vago
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2476",ELLERY,,,,,,Residência,Vago
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2660",ELLERY,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2664",ELLERY,,,,,,Residência,Ativo
,Terreno baldio,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2668",ELLERY,,,,,,Terreno baldio,Vago
,Cia da Sublimação Juca,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2672",ELLERY,,,,,,Comércio varejista de artigos do vestuário e acessórios,Ativo
,Terreno baldio,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2676",ELLERY,,,,,,Terreno baldio,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2680",ELLERY,,,,,,Residência,Vago
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2684",ELLERY,,,,,,Residência,Vago
,Terreno baldio,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2700",ELLERY,,,,,,Terreno baldio,Vago
,Terreno baldio,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2710",ELLERY,,,,,,Terreno baldio,Vago
,Condomínio residencial,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2716",ELLERY,,,,,,Condomínio residencial,Ativo
,Terreno baldio,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2720",ELLERY,,,,,,Terreno baldio,Vago
,Condomínio residencial,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2726",ELLERY,,,,,,Condomínio residencial,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2732",ELLERY,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2734",ELLERY,,,,,,Residência,Ativo
,Granprel,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2740",ELLERY,,,,,,Comércio varejista de materiais de construção em geral,Ativo
,Casa do Lanche,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2745",PRESIDENTE KENNEDY,,,,,,"Lanchonetes, casas de chá, de sucos e similares",Ativo
,Terreno baldio,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2752",PRESIDENTE KENNEDY,,,,,,Terreno baldio,Vago
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2787",PRESIDENTE KENNEDY,,,,,,Residência,Ativo
